Seq_id	Size	Description
1	4503487	CP045163.1
2	4605437	CP009836.1
3	4662886	CP009785.1
4	4659530	CP009723.1
5	4702289	CP000308.1
6	4596548	CP045158.1
7	4517345	CP000668.1
8	4528383	CP006762.1
9	4556337	CP009973.1
10	4563069	CP010293.1
--------------------------------------------------------------------------------
Block #1
Seq_id	Strand	Start	End	Length
Block #71
Seq_id	Strand	Start	End	Length
1	+	4469489	4503454	33966
2	+	1448630	1482595	33966
3	+	1006788	1040753	33966
4	+	3934441	3968406	33966
5	-	4702289	4668325	33965
6	+	4562550	4596515	33966
7	+	4483380	4517345	33966
8	+	1974945	2008910	33966
9	+	2827948	2861913	33966
10	+	3510527	3544491	33965
--------------------------------------------------------------------------------
Block #72
Seq_id	Strand	Start	End	Length
1	-	4141730	4113619	28112
2	-	1120884	1092773	28112
3	+	1246648	1274458	27811
4	+	4170392	4198202	27811
5	+	108257	136018	27762
6	-	4147093	4118983	28111
7	-	4072830	4044719	28112
8	-	1554127	1526016	28112
9	+	3065857	3093667	27811
10	+	286332	314142	27811
--------------------------------------------------------------------------------
Block #73
Seq_id	Strand	Start	End	Length
1	-	166586	158437	8150
2	-	1649214	1641065	8150
3	-	829967	821830	8138
4	-	3757608	3749471	8138
5	-	3649308	3641177	8132
6	+	4391446	4399601	8156
7	+	105324	113466	8143
8	+	2114248	2122378	8131
9	-	2651086	2642949	8138
10	-	3744155	3736018	8138
--------------------------------------------------------------------------------
Block #74
Seq_id	Strand	Start	End	Length
1	-	1727559	1590166	137394
2	-	3211975	3074582	137394
3	+	3861763	4001151	139389
4	+	2128359	2267745	139387
5	-	1019926	882471	137456
6	+	2676046	2813466	137421
7	+	1559292	1696358	137067
8	-	3923525	3786457	137069
9	+	1019240	1158628	139389
10	+	2084811	2228121	143311
--------------------------------------------------------------------------------
Block #75
Seq_id	Strand	Start	End	Length
1	+	2865215	2904222	39008
2	+	4448520	4487522	39003
3	-	2275273	2236987	38287
4	-	540221	501935	38287
5	+	2496401	2535403	39003
6	-	1488639	1449640	39000
7	+	2415043	2454040	38998
8	+	636565	675562	38998
9	-	4094934	4056648	38287
10	-	1050212	1009251	40962
--------------------------------------------------------------------------------
Block #76
Seq_id	Strand	Start	End	Length
1	-	2516630	2507791	8840
2	-	4101903	4093064	8840
3	-	3835174	3826335	8840
4	+	2115788	2124627	8840
5	-	2147833	2138994	8840
6	+	1839102	1847941	8840
7	-	2073616	2064777	8840
8	-	293811	284972	8840
9	-	992651	983812	8840
10	-	1889147	1880308	8840
--------------------------------------------------------------------------------
Block #77
Seq_id	Strand	Start	End	Length
1	-	3941714	3936553	5162
2	-	920899	915738	5162
3	+	1446448	1451609	5162
4	+	4372133	4377294	5162
5	-	3828996	3823801	5196
6	+	411316	416477	5162
7	-	3876788	3871593	5196
8	-	1609326	1604131	5196
9	+	3265519	3270680	5162
10	-	4441975	4436814	5162
--------------------------------------------------------------------------------
Block #78
Seq_id	Strand	Start	End	Length
1	-	419029	362585	56445
2	-	1901621	1845193	56429
3	+	538974	595370	56397
4	+	3468574	3524970	56397
5	+	4323501	4379893	56393
6	+	4023513	4079925	56413
7	+	3630473	3686831	56359
8	-	2584694	2528327	56368
9	+	2359383	2415779	56397
10	-	4029315	3972923	56393
--------------------------------------------------------------------------------
Block #79
Seq_id	Strand	Start	End	Length
1	+	795291	894550	99260
2	-	2515284	2416060	99225
3	-	99240	1	99240
4	-	3028825	2929587	99239
5	-	512498	411311	101188
6	+	3407827	3507129	99303
7	-	772948	672980	99969
8	-	3521398	3421432	99967
9	-	1919651	1820412	99240
10	-	688414	587109	101306
--------------------------------------------------------------------------------
Block #80
Seq_id	Strand	Start	End	Length
1	-	561577	526873	34705
2	-	2046128	2011424	34705
3	+	394480	429167	34688
4	+	3324080	3358766	34687
5	+	3950041	3984801	34761
6	+	3880946	3915650	34705
7	+	3488052	3524177	36126
8	-	2727098	2690990	36109
9	+	2214894	2249576	34683
10	-	3859284	3824580	34705
--------------------------------------------------------------------------------
Block #81
Seq_id	Strand	Start	End	Length
1	-	4385259	4376481	8779
2	+	1172387	1181165	8779
3	+	1554329	1563107	8779
4	+	4480014	4488792	8779
5	+	3814065	3822843	8779
6	+	81737	90508	8772
7	+	243030	251808	8779
8	+	2978559	2987337	8779
9	-	3456437	3447659	8779
10	-	4303624	4294846	8779
--------------------------------------------------------------------------------
Block #82
Seq_id	Strand	Start	End	Length
1	+	3280188	3304230	24043
2	+	258027	282069	24043
3	-	2177244	2153201	24044
4	-	442177	418134	24044
5	+	2919116	2943153	24038
6	-	1075032	1050990	24043
7	+	3133627	3157705	24079
8	+	1353561	1377615	24055
9	-	3996910	3972867	24044
10	-	2932164	2908126	24039
--------------------------------------------------------------------------------
Block #83
Seq_id	Strand	Start	End	Length
1	+	3947127	3960388	13262
2	+	926312	939573	13262
3	-	1441035	1427774	13262
4	-	4366720	4353460	13261
5	+	3834418	3847679	13262
6	-	405903	392643	13261
7	+	3882201	3894752	12552
8	+	1614739	1627290	12552
9	-	3260105	3246844	13262
10	+	4447390	4460651	13262
--------------------------------------------------------------------------------
Block #84
Seq_id	Strand	Start	End	Length
1	+	1212495	1242509	30015
2	+	2696840	2726854	30015
3	-	4390514	4359765	30750
4	-	2657113	2626381	30733
5	+	1193011	1223722	30712
6	-	3226277	3195550	30728
7	-	2913551	2882845	30707
8	-	1133490	1102784	30707
9	-	1547929	1517180	30750
10	+	2308243	2338986	30744
--------------------------------------------------------------------------------
Block #85
Seq_id	Strand	Start	End	Length
1	+	1909892	1915529	5638
2	+	3495136	3500773	5638
3	-	3413470	3407833	5638
4	-	1680044	1674407	5638
5	+	1543233	1548870	5638
6	-	2449474	2443837	5638
7	-	1275137	1269574	5564
8	+	4207676	4213239	5564
9	-	669797	664160	5638
10	-	1405978	1400341	5638
--------------------------------------------------------------------------------
Block #86
Seq_id	Strand	Start	End	Length
1	-	2863027	2812631	50397
2	-	4446332	4395936	50397
3	+	2277467	2329822	52356
4	+	542415	592812	50398
5	-	2492254	2441867	50388
6	+	1492786	1545140	52355
7	-	2412855	2362466	50390
8	-	634377	583988	50390
9	+	4097128	4147525	50398
10	+	1052400	1102789	50390
--------------------------------------------------------------------------------
Block #87
Seq_id	Strand	Start	End	Length
1	+	4350343	4376480	26138
2	-	1207303	1181166	26138
3	-	1589230	1563108	26123
4	-	4514915	4488793	26123
5	-	4097154	4071017	26138
6	-	116646	90509	26138
7	-	277959	251809	26151
8	-	3013467	2987338	26130
9	+	3421536	3447658	26123
10	+	4268708	4294845	26138
--------------------------------------------------------------------------------
Block #88
Seq_id	Strand	Start	End	Length
1	+	4231376	4277678	46303
2	-	1326274	1279971	46304
3	-	1710255	1663835	46421
4	-	4635956	4589527	46430
5	-	4216229	4169808	46422
6	-	237676	191282	46395
7	-	396857	350584	46274
8	-	3132314	3086266	46049
9	-	3531302	3484873	46430
10	+	3290079	3336500	46422
--------------------------------------------------------------------------------
Block #89
Seq_id	Strand	Start	End	Length
1	-	2507200	2384220	122981
2	-	4092474	3969498	122977
3	-	3823783	3700826	122958
4	-	2090380	1967407	122974
5	-	2138403	2013348	125056
6	+	1848532	1973095	124564
7	-	2064186	1940915	123272
8	-	284381	159802	124580
9	-	981261	858287	122975
10	-	1879717	1753470	126248
--------------------------------------------------------------------------------
Block #90
Seq_id	Strand	Start	End	Length
1	+	672088	712897	40810
2	+	2156639	2197412	40774
3	-	281975	240501	41475
4	-	3211565	3170100	41466
5	-	3467879	3427098	40782
6	-	3768475	3727692	40784
7	+	507123	547867	40745
8	+	3242570	3283314	40745
9	-	2102390	2060925	41466
10	+	4225260	4266747	41488
--------------------------------------------------------------------------------
Block #91
Seq_id	Strand	Start	End	Length
1	-	158436	99678	58759
2	-	1641064	1582306	58759
3	-	819878	761105	58774
4	-	3749470	3690706	58765
5	-	3641176	3580474	60703
6	-	4460320	4401553	58768
7	+	113467	172236	58770
8	+	2122379	2181148	58770
9	-	2642948	2582226	60723
10	-	3736017	3674677	61341
--------------------------------------------------------------------------------
Block #92
Seq_id	Strand	Start	End	Length
1	+	2519598	2540724	21127
2	+	4102631	4124037	21407
3	+	3835902	3858032	22131
4	-	2115060	2092930	22131
5	+	2150800	2172628	21829
6	-	1838374	1816938	21437
7	+	2074344	2094587	20244
8	+	294539	314783	20245
9	+	993379	1015509	22131
10	+	1891835	1913950	22116
--------------------------------------------------------------------------------
Block #93
Seq_id	Strand	Start	End	Length
1	+	1179955	1212494	32540
2	+	2664294	2696839	32546
3	-	4424916	4392468	32449
4	-	2691618	2659067	32552
5	+	662247	694798	32552
6	-	3258823	3226278	32546
7	-	2946949	2913552	33398
8	-	1166888	1133491	33398
9	-	1582434	1549883	32552
10	-	2522073	2488912	33162
--------------------------------------------------------------------------------
Block #94
Seq_id	Strand	Start	End	Length
1	+	1548651	1577598	28948
2	+	3033067	3062014	28948
3	-	4042607	4013728	28880
4	-	2309201	2280322	28880
5	+	838987	867935	28949
6	-	2854981	2826034	28948
7	-	1737883	1708935	28949
8	+	3744931	3773880	28950
9	-	1200084	1171205	28880
10	+	1944430	1973378	28949
--------------------------------------------------------------------------------
Block #95
Seq_id	Strand	Start	End	Length
1	+	215535	321211	105677
2	+	1698163	1803823	105661
3	-	1244293	1142424	101870
4	-	4168038	4066167	101872
5	+	4218585	4321227	102643
6	+	4147188	4252884	105697
7	+	3760565	3867444	106880
8	-	2454738	2347913	106826
9	-	3063502	2961632	101871
10	+	3577	110838	107262
--------------------------------------------------------------------------------
Block #96
Seq_id	Strand	Start	End	Length
1	+	166587	210818	44232
2	+	1649215	1693446	44232
3	+	829968	874199	44232
4	+	3757609	3801844	44236
5	+	3649309	3693570	44262
6	-	4391445	4347166	44280
7	-	105323	61098	44226
8	-	2114247	2070022	44226
9	+	2651087	2695342	44256
10	-	3970965	3926686	44280
--------------------------------------------------------------------------------
Block #97
Seq_id	Strand	Start	End	Length
1	-	4159153	4141731	17423
2	-	1138288	1120885	17404
3	-	896243	878700	17544
4	-	3823896	3806345	17552
5	+	292715	310240	17526
6	+	4325134	4342665	17532
7	-	4374565	4357552	17014
8	-	1866133	1849120	17014
9	-	2717402	2699843	17560
10	+	475463	492998	17536
--------------------------------------------------------------------------------
Block #98
Seq_id	Strand	Start	End	Length
1	+	460926	466156	5231
2	-	2011423	2006193	5231
3	+	429168	434403	5236
4	+	3358767	3364002	5236
5	+	3984802	3990037	5236
6	+	3915651	3920881	5231
7	+	3524178	3529322	5145
8	-	2690989	2685845	5145
9	+	2249577	2254812	5236
10	-	3824579	3819344	5236
--------------------------------------------------------------------------------
Block #99
Seq_id	Strand	Start	End	Length
1	-	640388	618112	22277
2	-	2124939	2102663	22277
3	+	315668	337944	22277
4	+	3245258	3267545	22288
5	+	3501572	3523848	22277
6	+	3802134	3824411	22278
7	-	473835	451548	22288
8	-	3209282	3187006	22277
9	+	2136083	2158359	22277
10	+	4372722	4394999	22278
--------------------------------------------------------------------------------
Block #100
Seq_id	Strand	Start	End	Length
1	-	1502037	1428608	73430
2	-	2986453	2913005	73449
3	+	4089184	4160664	71481
4	+	2355780	2427276	71497
5	-	790439	718922	71518
6	+	2901559	2975032	73474
7	+	2613516	2684936	71421
8	+	835074	906477	71404
9	+	1246653	1318149	71497
10	+	2414819	2486958	72140
--------------------------------------------------------------------------------
Block #101
Seq_id	Strand	Start	End	Length
1	+	2139368	2150478	11111
2	+	3724641	3735751	11111
3	+	3119006	3130106	11101
4	+	1385510	1396644	11135
5	-	1824682	1813572	11111
6	-	2219930	2208820	11111
7	+	983611	994677	11067
8	-	4498471	4487386	11086
9	+	375284	386420	11137
10	-	1503599	1492489	11111
--------------------------------------------------------------------------------
Block #102
Seq_id	Strand	Start	End	Length
1	+	2125207	2134439	9233
2	+	3710480	3719712	9233
3	+	3091484	3099904	8421
4	+	1354676	1363096	8421
5	-	1836672	1828252	8421
6	-	2234091	2224859	9233
7	+	968803	978035	9233
8	-	4513279	4504047	9233
9	+	353194	361614	8421
10	-	1513630	1505210	8421
--------------------------------------------------------------------------------
Block #103
Seq_id	Strand	Start	End	Length
1	-	3776275	3742773	33503
2	-	755448	721946	33503
3	-	640704	606536	34169
4	-	3570304	3536136	34169
5	-	4424684	4391059	33626
6	+	576781	610283	33503
7	-	4157251	4123812	33440
8	+	2309453	2342770	33318
9	-	2461113	2426945	34169
10	-	3779776	3746151	33626
--------------------------------------------------------------------------------
Block #104
Seq_id	Strand	Start	End	Length
1	+	1086216	1105394	19179
2	+	2570557	2589735	19179
3	-	4516729	4497551	19179
4	-	2783432	2764254	19179
5	+	567780	586958	19179
6	-	3350603	3331425	19179
7	-	1904929	1883678	21252
8	+	3577800	3599139	21340
9	-	1674254	1655076	19179
10	+	745654	764832	19179
--------------------------------------------------------------------------------
Block #105
Seq_id	Strand	Start	End	Length
1	-	3146300	3140619	5682
2	-	124151	118470	5682
3	-	2738262	2732581	5682
4	-	1001482	995801	5682
5	-	2780906	2775225	5682
6	+	1208941	1214622	5682
7	-	3000457	2994776	5682
8	-	1220396	1214715	5682
9	-	4556337	4550656	5682
10	-	2769682	2764001	5682
--------------------------------------------------------------------------------
Block #106
Seq_id	Strand	Start	End	Length
1	+	563439	618111	54673
2	+	2047990	2102662	54673
3	-	392618	337945	54674
4	-	3322218	3267546	54673
5	-	3578521	3523849	54673
6	-	3879084	3824412	54673
7	+	396858	451547	54690
8	+	3132315	3187005	54691
9	-	2213032	2158360	54673
10	-	3467617	3412944	54674
--------------------------------------------------------------------------------
Block #107
Seq_id	Strand	Start	End	Length
1	-	1166725	1157084	9642
2	-	2651066	2641425	9642
3	+	4438146	4447805	9660
4	+	2704848	2714507	9660
5	-	649017	639358	9660
6	+	3272053	3281694	9642
7	+	1824259	1833947	9689
8	-	3658572	3648870	9703
9	+	1595671	1605330	9660
10	+	2702648	2712307	9660
--------------------------------------------------------------------------------
Block #108
Seq_id	Strand	Start	End	Length
1	-	2582937	2546830	36108
2	-	4166244	4130143	36102
3	+	2882013	2918086	36074
4	+	1145224	1181297	36074
5	-	2216304	2180624	35681
6	+	1774997	1810831	35835
7	-	2136795	2100512	36284
8	-	356617	321280	35338
9	+	143810	179814	36005
--------------------------------------------------------------------------------
Block #109
Seq_id	Strand	Start	End	Length
1	-	741600	712898	28703
2	-	2226115	2197413	28703
3	+	211140	240500	29361
4	+	3140739	3170099	29361
5	+	3396453	3427097	30645
6	+	3698997	3727691	28695
7	-	576549	547868	28682
8	-	3312008	3283315	28694
9	+	2031564	2060924	29361
--------------------------------------------------------------------------------
Block #110
Seq_id	Strand	Start	End	Length
1	-	3895736	3850703	45034
2	-	874920	829887	45034
3	-	760147	715114	45034
4	-	3689749	3644714	45036
5	-	4546164	4501129	45036
6	+	457294	502326	45033
7	-	4276722	4231657	45066
8	+	2189971	2235036	45066
9	-	2581269	2536234	45036
--------------------------------------------------------------------------------
Block #111
Seq_id	Strand	Start	End	Length
1	+	352458	362584	10127
2	+	1835066	1845192	10127
3	-	605537	595371	10167
4	-	3535137	3524971	10167
5	-	4390060	4379894	10167
6	-	4090052	4079926	10127
7	-	3696959	3686832	10128
8	+	2518195	2528326	10132
9	-	2425946	2415780	10167
--------------------------------------------------------------------------------
Block #112
Seq_id	Strand	Start	End	Length
1	+	2589411	2624457	35047
2	+	4172718	4207764	35047
3	-	2875242	2840127	35116
4	-	1138453	1103338	35116
5	+	2222778	2253228	30451
6	-	1768226	1733180	35047
7	+	2143269	2178370	35102
8	+	364842	399943	35102
9	-	136970	101855	35116
--------------------------------------------------------------------------------
Block #113
Seq_id	Strand	Start	End	Length
1	+	2039195	2051855	12661
2	+	3624468	3637128	12661
3	-	3281519	3268149	13371
4	-	1548057	1534688	13370
5	+	1662158	1675529	13372
6	-	2320218	2307558	12661
7	-	1144816	1131699	13118
8	+	4337923	4350330	12408
9	-	537836	524466	13371
--------------------------------------------------------------------------------
Block #114
Seq_id	Strand	Start	End	Length
1	-	2039194	2028253	10942
2	-	3624467	3613526	10942
3	+	3281520	3292461	10942
4	+	1548058	1558999	10942
5	-	1662157	1651216	10942
6	+	2320219	2331160	10942
7	+	1144817	1156282	11466
8	-	4337922	4326458	11465
9	+	537837	548778	10942
--------------------------------------------------------------------------------
Block #115
Seq_id	Strand	Start	End	Length
1	+	1406444	1423380	16937
2	+	2890841	2907777	16937
3	-	4184787	4167851	16937
4	-	2451399	2434463	16937
5	+	696758	713694	16937
6	-	2997196	2980260	16937
7	-	2707105	2690164	16942
8	-	927136	910199	16938
9	-	1342272	1325336	16937
--------------------------------------------------------------------------------
Block #116
Seq_id	Strand	Start	End	Length
1	+	993254	1028844	35591
2	-	2317484	2281890	35595
3	-	4562405	4526785	35621
4	-	2829107	2793486	35622
5	+	3700146	3736479	36334
6	+	3607612	3643215	35604
9	-	1719931	1684310	35622
10	-	3920108	3883775	36334
--------------------------------------------------------------------------------
Block #117
Seq_id	Strand	Start	End	Length
1	+	763063	774629	11567
2	+	2247553	2259119	11567
3	-	180769	169202	11568
4	-	3110325	3098758	11568
5	-	3770807	3759240	11568
6	-	3677550	3665983	11568
9	-	2001156	1989589	11568
10	+	176249	187816	11568
--------------------------------------------------------------------------------
Block #118
Seq_id	Strand	Start	End	Length
1	-	793148	774630	18519
2	-	2277639	2259120	18520
3	+	150623	169201	18579
4	+	3080207	3098757	18551
5	+	3740731	3759239	18509
6	+	3647467	3665982	18516
9	+	1971038	1989588	18551
10	-	3879561	3861152	18410
--------------------------------------------------------------------------------
Block #119
Seq_id	Strand	Start	End	Length
1	+	2014230	2025649	11420
2	+	3599503	3610922	11420
3	-	3306483	3295065	11419
4	-	1573022	1561603	11420
6	-	2345183	2333764	11420
7	-	1168982	1158703	10280
8	+	4313758	4324037	10280
9	-	562799	551382	11418
--------------------------------------------------------------------------------
Block #120
Seq_id	Strand	Start	End	Length
3	-	4359764	4349377	10388
4	-	2626380	2615993	10388
5	+	1223723	1234823	11101
6	-	3195549	3184449	11101
7	-	2882844	2872457	10388
8	-	1102783	1092397	10387
9	-	1517179	1506819	10361
10	+	2338987	2350087	11101
--------------------------------------------------------------------------------
Block #121
Seq_id	Strand	Start	End	Length
1	-	758140	742285	15856
2	-	2242631	2226800	15832
3	+	181266	197336	16071
4	+	3110822	3126892	16071
5	+	3771304	3787281	15978
6	+	3682473	3698304	15832
9	+	2001653	2017724	16072
10	-	171326	155775	15552
--------------------------------------------------------------------------------
Block #122
Seq_id	Strand	Start	End	Length
2	+	3408429	3414630	6202
3	-	3500225	3494024	6202
4	-	1766806	1760605	6202
5	+	1454554	1460752	6199
6	-	2477595	2471400	6196
7	-	1363972	1357200	6773
8	+	4118840	4125612	6773
--------------------------------------------------------------------------------
Block #123
Seq_id	Strand	Start	End	Length
1	+	955753	960956	5204
2	-	2354857	2349782	5076
3	-	4599754	4594708	5047
4	-	2866456	2861410	5047
5	-	347487	342422	5066
6	+	3570261	3575337	5077
9	-	1757280	1752234	5047
--------------------------------------------------------------------------------
Block #124
Seq_id	Strand	Start	End	Length
3	+	2989078	2994646	5569
4	+	1252287	1257855	5569
5	-	1938394	1932826	5569
7	+	866312	871880	5569
8	-	87057	81489	5569
9	+	250805	256373	5569
10	-	1676082	1670514	5569
--------------------------------------------------------------------------------
Block #125
Seq_id	Strand	Start	End	Length
2	-	3408428	3373409	35020
3	+	3500226	3535246	35021
4	+	1766807	1801827	35021
5	-	1454553	1419533	35021
6	+	2477596	2512616	35021
7	+	1363973	1399745	35773
8	-	4118839	4083066	35774
--------------------------------------------------------------------------------
Block #126
Seq_id	Strand	Start	End	Length
2	-	3473212	3414631	58582
3	+	3435440	3494023	58584
4	+	1702015	1760604	58590
5	-	1521294	1460753	60542
7	+	1298640	1357199	58560
8	-	4184162	4125613	58550
--------------------------------------------------------------------------------
Block #127
Seq_id	Strand	Start	End	Length
3	+	3111205	3116635	5431
3	+	3105772	3111204	5433
4	+	1368964	1374396	5433
4	+	1377706	1383139	5434
9	+	367481	372913	5433
--------------------------------------------------------------------------------
Block #128
Seq_id	Strand	Start	End	Length
3	-	208721	197337	11385
4	-	3138320	3126893	11428
5	-	3394034	3382152	11883
8	+	3316172	3327994	11823
9	-	2029145	2017725	11421
--------------------------------------------------------------------------------
Block #129
Seq_id	Strand	Start	End	Length
5	+	1234824	1250598	15775
6	-	3184448	3168674	15775
10	+	2350088	2365862	15775
--------------------------------------------------------------------------------
Block #130
Seq_id	Strand	Start	End	Length
7	+	3268349	3276226	7878
8	+	1488256	1496133	7878
--------------------------------------------------------------------------------
